Nathaniel Brooks
Samuel Whitaker
Elijah Mercer
Thomas Caldwell
Benjamin Harlan
Josiah Turner
William Beauregard Hale
Charles Wentworth
Isaac Holloway
Edward Rutledge
Henry Talbot
James Porterfield
Jonathan Pike
Robert Clayburn
Stephen Merriweather
Andrew Lockridge
Matthew Carver
Daniel Whitcomb
George Tillinghast
Franklin Avery
Albert Remington
Theodore Winslow
Levi Ashford
Philip Carradine
Elias Thornton
Ambrose Kincaid
Nathan Boone
Jeremiah Blackwell
Caleb Sutton
Oliver Pritchard
Martin Bellamy
Joseph Weatherford
Richard Pembroke Hale
Cyrus Montgomery
Everett Langdon
Silas Crowther
Amos Redfield
Zachariah Boone
Jefferson Markley
Walter Granger
Cornelius Pike
Augustus Wainwright
Preston Beauman
Harrison Trowbridge
Lucius Fenner
Edwin Mercer
Gideon Harper
Thaddeus Warren
Milton Hawley
Ulysses Barrett
Rufus Calhoun
Ephraim Talcott
Patrick Donnelly
Seamus Callahan
Ethan Ridgely
David Hensley
Jacob McAllister
Franklin Mercer Hale
Isaiah Weatherby
Nathan Bedford Rowan
Wesley Pembroke
Abner Sinclair
Elijah Crowley
Joseph Winthrop
Calvin Merrick
Horatio Bell
Ambrose Whitfield
Silas Beauregard
Jeremiah Colter
Thomas Redgrave
Lucien Harper
Virgil McKenna
James Hollowell
Robert Ashby
Andrew Beauman
Francis Talmadge
Theodore Blackwell
Philip Garrison
Albert Stokes
Henry Vance
Everett Sumner
Isaac Pennington
Walter Harlow
Preston Clay
Elias Rutger
Nathan Crowhurst
Charles Bledsoe
Samuel Grady
Winfield Mercer
Gideon Pike
Amos Wheeler
Calvin Beauregard
Richard Fenwick
Matthew Harlan Pike
Stephen Colfax
Cyrus Whitmore
Josiah Tanner
Edward Brackenridge
Lucius Hale
Benjamin Sutter
Daniel Forsythe
Andrew Whitlock
