Name,ID,NAME1,NAME2,SIDE 1,ARMY 2,CORPS 3,DIV 4,BGDE 5,BTN 6,CLASS,PORTRAIT,Weapon,AMMO,FLAGS,FLAG2,Formation,Head Count,Ability,Command,Control,Leadership,Style,Experience,Fatigue,Morale,Close,Open,Edged,Firearm,Marksmanship,Horsemanship,Surgeon,Calisthenics
, Regimental Infantry
French Battalion Default,OOB_MNK_FR_INF_REG_,{cycle:1|1|1|2|2|2|3|3|3}e Regiment / {cycle:1er|2e|3e} Bataillon,,,,,,,X,UGLB_FR_Inf_1,(1-0),IDS_ARSN_1777_Charleville_France,40,GFX_French1,,DRIL_Lvl6_Inf_Column,{range:350-550},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
British Battalion Default,OOB_MNK_BR_INF_REG_,{seqord:1-99} Regiment,,,,,,,X,UGLB_BR_Inf_1,(1-0),IDS_ARSN_India_Pattern_British,40,GFX_British_1815,GFX_Brit_KC_Btn3_14th,DRIL_Lvl6_Inf_Column,{range:350-550},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
Prussian Battalion Default,OOB_MNK_PR_INF_REG_,{seq:pr_bat}. Bataillon,,,,,,,X,UGLB_PR_Inf_2,(1-0),IDS_ARSN_1782_Pattern_Prussia,40,GFX_PR_Landwehr,,DRIL_Lvl6_Inf_Column,{range:350-550},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
Union Regiment Default,OOB_MNK_U_INF_REG_,{rangeord:1-60} {pool:states_union},,,,,,,X,UGLB_USA_Inf_7,(1-0),IDS_ARSN_Model_1861_Springfield_USA,60,GFX_US_National_Regt,GFX_US_MI_Regt,DRIL_Lvl6_Inf_Column,{range:350-550},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
Confederate Regiment Default,OOB_MNK_C_INF_REG_,{rangeord:1-60} {pool:states_confederate},,,,,,,X,UGLB_CSA_Inf_2,(1-0),IDS_ARSN_1854_Lorenz_Austria,60,GFX_CS_Arkansas3rd,,DRIL_Lvl6_Inf_Column,{range:350-550},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}

, Cavalry Squadrons
French Cav Squadron Default,OOB_MNK_FR_Cav_SQD_,{seq:fr_cav} Escadron,,,,,,,X,UGLB_FR_Cav_2,(1-0),IDS_ARSN_Swords_and_Pistols,40,GFX_Cav_French_Chasseurs,,DRIL_Lvl6_Cav_Column,{range:100-200},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
British Cav Squadron Default,OOB_MNK_BR_Cav_SQD_,{seqord:br_cav} Squadron,,,,,,,X,UGLB_BR_Cav_5,(1-0),IDS_ARSN_Swords_and_Pistols,40,GFX_Cav_British,,DRIL_Lvl6_Cav_Column,{range:100-200},,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}

, Artillery Pieces
French Artillery Default,OOB_MNK_FR_ART_BAT_,#{seq:art_bat} Gun / {pick:Left|Center|Right} Section,,,,,,,X,UGLB_FR_Art_Limbered_2_FA,(10-7),IDS_ARSN_6lb_Cannon_FR,4,GFX_Art_French,,DRIL_Lvl6_Art_March,30,,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}
British Artillery Default,OOB_MNK_BR_ART_BAT_,#{seq:art_bat} Gun / {pick:Left|Center|Right} Section,,,,,,,X,UGLB_BR_Art_Limbered_1,(10-7),IDS_ARSN_9lb_Cannon_Br,4,GFX_Art_British,,DRIL_Lvl6_Art_March,30,,,,,,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9}

, Brigade Commanders
French Infantry Brigade Commander,OOB_MNK_FR_BGD_CMD_,Maréchal de Camp {pool:commanders_french},Brigade {seq:fr_brigade},,,,,X,,UGLB_FR_Inf_Cdr_Brig,(0-8),,,GFX_CO_France,,DRIL_Lvl5_Inf_Column,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
British Infantry Brigade Commander,OOB_MNK_BR_BGD_CMD_,Major General {pool:commanders_british},Brigade {seq:br_brigade},,,,,X,,UGLB_BR_Inf_Cdr_Brig,(7-13),,,GFX_CO_British,,DRIL_Lvl5_Inf_Column,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Union Infantry Brigade Commander,OOB_MNK_U_BGD_CMD_,Brigadier General {pool:commanders_american},Brigade {seq:u_brigade},,,,,X,,UGLB_USA_Inf_Cdr_Brig,(4-3),,,GFX_US_5C1D1B,,DRIL_Lvl5_Inf_Column,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Confederate Infantry Brigade Commander,OOB_MNK_C_BGD_CMD_,Brigadier General {pool:commanders_american},Brigade {seq:c_brigade},,,,,X,,UGLB_CSA_Inf_Cdr_Brig,(0-1),,,GFX_CS_GeorgiaState,,DRIL_Lvl5_Inf_Column,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,

, Divisional Commanders
French Infantry Division Commander,OOB_MNK_FR_DIV_CMD_,lieutenant-général {pool:commanders_french},{seq:fr_div} Division,,,,X,,,UGLB_FR_Inf_Cdr_Div,(7-6),,,GFX_CO_France,,DRIL_Lvl4_Inf_Div_Col_Btn_FR,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
British Infantry Division Commander,OOB_MNK_BR_DIV_CMD_,Lieutenant General {pool:commanders_british},{seq:br_div} Division,,,,X,,,UGLB_BR_Inf_Cdr_Div,(0-5),,,GFX_CO_British,,DRIL_Lvl4_Inf_DoubleLine_Br,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Union Infantry Division Commander,OOB_MNK_U_DIV_CMD_,Brigadier General {pool:commanders_american},{seq:u_div} Division,,,,X,,,UGLB_USA_Inf_Cdr_Div,(2-1),,,GFX_US_5C1D,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Confederate Infantry Division Commander,OOB_MNK_C_DIV_CMD_,Brigadier General {pool:commanders_american},{seq:c_div} Division,,,,X,,,UGLB_CSA_Inf_Cdr_Div,(5-0),,,GFX_CS_3rdBunting_Div,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,

, Corps Commanders
French Corps Commander,OOB_MNK_FR_COR_CMD_,lieutenant-général {pool:commanders_french},{seq:fr_corps} Corps d'Armée,,,X,,,,UGLB_FR_Inf_Cdr_Corps,(0-3),,,GFX_CO_France,,DRIL_Lvl3_Inf_Res_Corps_FR,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
British Corps Commander,OOB_MNK_BR_COR_CMD_,General {pool:commanders_british},{seq:br_corps} Corps,,,X,,,,UGLB_BR_Inf_Cdr_Corps,(0-1),,,GFX_CO_British,,DRIL_Lvl3_Inf_Res_Corps_Br,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Union Corps Commander,OOB_MNK_U_COR_CMD_,Major General {pool:commanders_american},{seq:u_corps} Corps,,,X,,,,UGLB_USA_Inf_Cdr_Corps,(8-0),,,GFX_US_5C_HQ,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
Confederate Corps Commander,OOB_MNK_C_COR_CMD_,Lieutenant General {pool:commanders_american},{seq:c_corps} Corps,,,X,,,,UGLB_CSA_Inf_Cdr_Corps,(0-0),,,GFX_CS_3rdBunting_Corps,,DRIL_Lvl4_Inf_LinewithReserves,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,

, Army Commanders
French Army Commander,OOB_MNK_FR_ARM_CMD_,{pool:commanders_french},Armée {pick:du Nord|des Ardennes|de la Mosellle},,X,,,,,UGLB_FR_Inf_Cdr_Army_Napoleon,(0-1),,,GFX_CO_France,,DRIL_Lvl3_Inf_Res_Corps_FR,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
British Army Commander,OOB_MNK_BR_ARM_CMD_,Field Marshal {pool:commanders_british},Army of Low Countries,,X,,,,,UGLB_BR_Inf_Cdr_Army,(0-1),,,GFX_CO_British,,DRIL_Lvl3_Inf_Res_Corps_Br,1,{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},{range:5-9},,,,,,,,,,
